acq_date,n
2020-01-01,1071
2020-01-02,1104
2020-01-03,1665
2020-01-04,4392
2020-01-05,351
2020-01-06,115
2020-01-07,72
2020-01-08,156
2020-01-09,221
2020-01-10,298
2020-01-11,619
2020-01-12,279
2020-01-13,924
2020-01-14,360
2020-01-15,140
2020-01-16,9
2020-01-17,18
2020-01-18,31
2020-01-19,4
2020-01-20,1
2020-01-21,22
2020-01-22,105
2020-01-23,147
2020-01-24,102
2020-01-25,114
2020-01-26,374
2020-01-27,78
2020-01-28,53
2020-01-29,257
2020-01-30,309
2020-01-31,731
2020-02-01,1209
2020-02-02,73
2020-02-03,209
2020-02-04,298
2020-02-05,257
2020-02-06,10
2020-02-07,20
2020-02-08,1
2020-02-10,3
2020-02-11,3
2020-02-12,1
2020-02-13,3
2020-02-14,2
2020-02-15,11
2020-02-16,4
2020-02-17,10
2020-02-18,4
2020-02-19,5
2020-02-20,8
2020-02-21,3
